Designator,Val,Package,MidX,MidY,Rotation,Layer
R10,1k,R_0402_1005Metric,113.600000,-156.400000,90.000000,top
R11,2.2K 1%,R_0402_1005Metric,171.800000,-126.200000,-90.000000,top
R12,36K 1%,R_0402_1005Metric,179.388000,-132.330999,90.000000,top
R13,36K 1%,R_0402_1005Metric,180.912000,-132.244000,90.000000,top
R14,36K 1%,R_0402_1005Metric,174.816000,-134.022000,180.000000,top
R15,12K 1%,R_0402_1005Metric,173.725000,-140.925000,90.000000,top
R16,36K 1%,R_0402_1005Metric,178.118000,-132.330999,90.000000,top
R17,nf,R_0402_1005Metric,202.700000,-130.935000,-90.000000,top
R18,nf,R_0402_1005Metric,202.650000,-133.985000,-90.000000,top
R19,510K 1%,R_0402_1005Metric,122.014000,-117.948000,90.000000,top
R20,510K 1%,R_0402_1005Metric,125.062000,-117.948000,90.000000,top
R21,36K 1%,R_0402_1005Metric,205.900000,-78.700000,180.000000,top
R22,10R,R_0402_1005Metric,226.350000,-121.177500,90.000000,top
R23,12K 1%,R_0402_1005Metric,228.950000,-119.812500,90.000000,top
R24,47K 1%,R_0402_1005Metric,230.350000,-120.812500,-90.000000,top
R25,20K 1%,R_0402_1005Metric,229.000000,-88.950000,90.000000,top
R26,12K 1%,R_0402_1005Metric,227.250000,-142.250000,-90.000000,top
R27,12K 1%,R_0402_1005Metric,230.500000,-90.350000,-90.000000,top
R28,2.2K 1%,R_0402_1005Metric,231.900000,-93.400000,-90.000000,top
R29,12K 1%,R_0402_1005Metric,202.800000,-124.200000,180.000000,top
R30,15K 1%,R_0402_1005Metric,231.850000,-124.462500,-90.000000,top
R36,15K 1%,R_0402_1005Metric,187.050000,-134.050000,180.000000,top
U1,TPD4EUSB30,USON-10_2.5x1.0mm_P0.5mm,155.400000,-138.285000,-90.000000,top
U2,TPD4EUSB30,USON-10_2.5x1.0mm_P0.5mm,149.400000,-138.285000,-90.000000,top
U3,MagJack-A70-112-331N126,TRJG0926HENL,153.000000,-150.500000,0.000000,top
U4,TPD4EUSB30,USON-10_2.5x1.0mm_P0.5mm,193.250000,-134.800000,90.000000,top
U5,74LVC1G07SE-7,SOT-353_SC-70-5,115.600000,-153.300000,-90.000000,top
U6,USB2514B-I/M2,QFN-36-1EP_6x6mm_P0.5mm_EP3.7x3.7mm,179.604000,-137.768000,90.000000,top
U7,AP22653W6,SOT-23-6,187.500000,-131.500000,-90.000000,top
U8,PCF85063AT/AAZ,SOIC-8_3.9x4.9mm_P1.27mm,109.000000,-120.250000,180.000000,top
U9,74LVC1G07SE-7,SOT-353_SC-70-5,200.700000,-83.700000,180.000000,top
U11,EMC2301-1-ACZL-TR,MSOP-8_3x3mm_P0.65mm,206.000000,-76.000000,0.000000,top
U12,RT9742SNGV,SOT-23,114.100000,-149.300000,90.000000,top
U13,FSUSB42MUX,MSOP-10_3x3mm_P0.5mm,177.300000,-126.500000,0.000000,top
U14,74LVC1G07SE-7,SOT-353_SC-70-5,127.618000,-118.472000,0.000000,top
U15,AP64501SP-13,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.71x3.4mm_ThermalVias,228.350000,-126.062500,90.000000,top
U16,AP64501SP-13,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.71x3.4mm_ThermalVias,228.400000,-95.350000,90.000000,top
U18,RT9742GGJ5,SOT-23-5,203.798661,-127.555987,180.000000,top
Y1,24MHz,Crystal_SMD_HC49-SD,169.300000,-134.200000,90.000000,top
Y2,X32K768S301,Crystal_SMD_3215-2Pin_3.2x1.5mm,114.850000,-121.800000,90.000000,top
